Date,Open,High,Low,Close,Volume
04/23/2020,154.01,169.75,153.49,169.09,22159845
04/24/2020,177.15,181.5,158.3,158.8,44049511
04/27/2020,156.59,167.85,155.0,164.6,19783693
04/28/2020,165.0,166.0,155.25,156.72,13477842
04/29/2020,147.98,151.0,143.38,146.48,22033320
04/30/2020,139.99,143.8,133.6801,135.17,16682256
05/01/2020,136.0,141.63,132.67,138.56,13806992
05/04/2020,140.77,144.98,140.4495,143.44,9184748
05/05/2020,144.43,148.44,140.86,144.82,7376349
05/06/2020,145.47,150.74,144.09,149.59,6031085
05/07/2020,154.84,162.0,154.04,157.8,8388863
05/08/2020,160.0,161.16,152.7046,155.4,7079101
05/11/2020,159.43,168.0,158.0,166.48,10142713
05/12/2020,168.0,168.23,160.05,161.04,7102604
05/13/2020,163.61,171.5,159.17,167.14,11081302
05/14/2020,168.26,170.8,162.89,167.91,6730504
05/15/2020,166.75,175.44,166.56,174.83,8540460
05/18/2020,170.03,173.44,162.6418,164.69,9636750
05/19/2020,167.0,173.86,166.21,173.68,8485526
05/20/2020,173.53,175.64,170.53,175.48,6910014
05/21/2020,175.96,177.8,168.36,172.03,5525274
05/22/2020,171.86,175.89,170.2,171.06,4302150
05/26/2020,169.1,169.69,163.12,164.0,6689691
05/27/2020,158.01,162.22,149.16,161.97,10076711
05/28/2020,159.23,169.4,159.2,163.55,6393691
05/29/2020,168.0,179.99,167.86,179.48,15311278
06/01/2020,183.18,205.87,183.0,204.15,24394389
06/02/2020,210.25,212.69,197.32,208.08,36853399
06/03/2020,211.7,224.46,202.32,223.87,32390121
06/04/2020,221.0,223.0,207.6,210.35,20212598
06/05/2020,200.11,208.94,196.1,207.6,16298729
06/08/2020,204.35,211.44,198.66,209.83,10457504
06/09/2020,209.83,210.59,202.93,205.43,7521808
06/10/2020,208.89,221.53,208.26,221.02,12241109
06/11/2020,219.18,232.0,218.5,222.07,17615754
06/12/2020,224.79,231.45,216.75,219.52,8780413
06/15/2020,227.84,239.59,226.38,239.02,13959080
06/16/2020,235.99,243.5,231.8206,242.56,11333313
06/17/2020,243.18,243.88,235.12,236.76,11704326
06/18/2020,240.39,242.61,238.22,241.57,9340944
06/19/2020,241.64,243.57,238.7035,243.48,10077543
