"FRECUENCIA","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL","MENSUAL"
"FEB 2011",89.088,84.909,82.196,86.613,87.194,96.236,88.298,89.505,114.922,100.067,81.897,88.316,86.236
"MAR 2011",89.754,85.192,82.324,89.769,87.551,96.559,88.411,90.887,114.918,100.448,81.824,88.574,86.630
"ABR 2011",90.871,85.433,82.274,98.358,88.167,97.076,88.298,91.818,115.110,101.933,81.831,89.075,86.804
"MAY 2011",90.841,85.660,82.285,100.388,88.057,97.476,88.200,91.064,115.067,100.175,81.833,88.944,86.945
"JUN 2011",90.713,85.726,78.404,99.601,87.990,97.656,88.307,90.832,115.013,100.536,81.843,89.196,87.139
"JUL 2011",90.226,85.886,79.996,87.646,88.919,96.875,88.205,91.383,113.857,102.866,81.859,89.852,86.978
"AGO 2011",90.338,86.073,79.899,86.828,88.752,96.939,87.781,91.206,113.851,104.389,81.863,90.575,87.086
"SEP 2011",90.559,86.259,82.701,90.182,88.830,97.252,87.839,91.742,113.921,101.853,82.370,89.593,87.163
"OCT 2011",91.273,86.321,83.513,99.429,89.221,97.718,87.998,91.581,113.237,101.024,84.021,89.285,87.280
"NOV 2011",91.643,86.484,83.641,104.391,89.367,98.073,85.748,91.944,113.239,100.477,84.090,89.028,87.348
"DIC 2011",91.762,86.759,83.641,102.943,89.431,98.209,85.806,91.771,113.202,102.706,84.086,89.168,87.518
"ENE 2012",90.753,86.978,83.779,88.118,89.895,97.310,85.699,93.461,110.845,100.190,84.159,89.082,87.980
"FEB 2012",90.847,87.077,84.042,86.579,90.053,97.252,85.753,94.227,110.901,100.430,84.178,89.136,88.222
"MAR 2012",91.458,87.164,84.084,89.912,90.270,97.516,85.748,95.646,111.018,101.168,84.186,89.333,88.323
"ABR 2012",92.743,87.377,86.488,98.799,92.284,97.902,85.696,96.227,110.592,102.207,84.183,89.976,88.482
"MAY 2012",92.606,87.223,87.408,100.917,92.523,98.182,85.687,94.890,110.666,100.582,84.184,89.767,88.420
"JUN 2012",92.433,87.574,87.420,99.987,92.346,98.263,85.690,93.458,110.607,101.140,84.188,89.984,88.424
"JUL 2012",92.217,87.436,87.630,87.813,93.751,97.186,94.022,94.832,108.601,103.139,84.190,90.532,88.204
"AGO 2012",92.736,87.808,87.812,86.829,94.052,97.294,93.359,96.796,108.602,104.220,84.191,91.188,88.674
"SEP 2012",93.649,88.239,88.089,90.362,95.269,98.102,97.056,98.326,111.353,103.097,84.933,90.373,89.455
"OCT 2012",94.445,88.511,88.099,99.811,94.676,98.954,97.253,97.541,111.339,103.010,92.774,90.212,90.245
"NOV 2012",94.328,88.950,87.951,104.886,94.541,99.248,97.286,94.766,110.161,101.637,92.813,89.861,90.384
"DIC 2012",94.394,89.386,88.146,103.207,94.479,99.362,97.200,94.612,110.162,103.503,92.936,89.857,90.383
"ENE 2013",93.188,89.728,90.497,88.030,93.848,98.581,96.032,95.510,108.873,101.258,92.959,89.676,90.603
"FEB 2013",93.349,89.494,90.858,86.457,94.040,98.609,96.792,96.841,108.860,101.745,92.955,89.692,90.877
"MAR 2013",93.678,89.389,90.918,89.920,94.170,98.793,96.815,96.298,108.875,103.463,92.917,89.944,90.857
"ABR 2013",94.028,89.657,90.961,99.000,92.721,99.222,96.806,95.571,106.130,102.573,92.928,90.251,90.894
"MAY 2013",94.201,90.206,91.135,101.191,92.648,99.581,97.239,94.774,106.205,102.192,92.932,90.355,90.944
"JUN 2013",94.340,90.771,91.156,100.109,92.716,99.678,97.286,95.028,106.182,102.715,92.926,90.618,90.833
"JUL 2013",93.853,91.276,92.866,87.537,93.050,98.530,97.474,96.152,104.936,104.754,92.915,91.213,90.610
"AGO 2013",94.145,91.686,93.139,86.476,93.811,98.475,97.477,96.442,104.924,105.942,92.920,91.759,90.632
"SEP 2013",93.969,90.461,93.182,90.429,93.938,98.735,97.436,96.727,104.831,103.178,93.222,90.746,90.636
"OCT 2013",94.351,89.920,93.273,100.158,94.483,98.955,97.463,95.528,103.044,102.187,94.655,90.435,90.689
"NOV 2013",94.547,90.042,93.226,105.198,94.408,99.161,97.431,95.075,103.040,100.940,94.670,90.021,90.713
"DIC 2013",94.632,90.455,93.102,103.189,94.472,99.187,97.244,95.530,102.915,102.282,94.694,90.014,90.692
"ENE 2014",93.373,90.793,93.098,87.838,94.920,98.362,97.271,95.090,101.374,100.119,94.704,89.799,90.991
"FEB 2014",93.333,90.466,93.232,86.352,95.076,98.312,97.173,95.062,101.426,100.833,94.716,89.911,91.519
"MAR 2014",93.541,89.865,93.309,89.992,95.122,98.529,97.362,95.056,101.409,101.092,94.719,90.144,91.544
"ABR 2014",94.373,89.773,93.200,99.308,95.087,98.705,97.336,95.466,100.019,102.565,94.735,90.872,91.528
"MAY 2014",94.395,89.472,93.125,101.614,95.143,98.810,97.356,95.563,99.963,101.103,94.732,90.769,91.587
"JUN 2014",94.421,89.435,93.035,100.324,94.623,98.794,97.396,96.104,99.886,101.783,94.734,91.016,91.961
"JUL 2014",93.533,89.455,93.461,87.344,94.148,97.947,97.276,96.283,98.644,103.093,94.734,91.616,91.687
"AGO 2014",93.681,89.678,93.551,86.237,94.665,97.973,97.346,96.009,98.650,104.085,94.737,92.320,91.699
"SEP 2014",93.824,89.767,93.559,90.501,96.016,98.165,97.094,95.741,98.623,101.121,95.080,91.373,91.726
"OCT 2014",94.261,90.247,93.610,100.453,95.705,98.328,97.220,94.502,97.131,100.215,95.822,90.976,91.795
"NOV 2014",94.195,90.202,93.630,105.568,94.441,98.521,97.156,93.444,97.095,99.426,95.892,90.514,91.814
"DIC 2014",93.646,90.155,93.463,103.425,94.267,98.562,97.029,90.241,97.091,101.067,95.877,90.596,91.860
"ENE 2015",92.141,90.399,93.910,87.723,94.525,97.872,97.175,87.798,96.628,99.441,95.905,90.304,92.575
"FEB 2015",92.331,90.641,94.548,86.243,93.284,97.830,97.294,89.732,96.622,99.868,95.905,90.494,92.787
"MAR 2015",92.920,90.203,94.648,89.938,93.255,97.999,97.403,91.683,96.632,100.676,95.917,90.802,92.852
"ABR 2015",93.774,90.135,94.615,99.453,93.317,98.234,97.308,92.216,96.566,101.184,95.925,91.414,92.907
"MAY 2015",94.222,90.601,94.650,101.994,92.895,98.466,97.331,93.477,98.102,100.285,95.922,91.572,92.961
"JUN 2015",94.474,91.061,94.655,100.795,93.782,98.593,97.358,93.455,98.073,100.981,95.916,91.937,93.372
"JUL 2015",93.597,90.700,94.711,87.770,94.075,97.837,97.424,92.954,98.044,102.915,95.911,92.471,93.256
"AGO 2015",93.286,91.343,94.719,86.643,92.855,97.843,97.372,90.829,98.051,103.689,95.911,93.228,93.212
"SEP 2015",92.999,91.408,94.769,90.950,91.755,98.052,97.421,89.618,98.043,101.212,96.171,92.162,93.253
"OCT 2015",93.595,91.934,94.788,101.023,91.410,98.392,97.504,89.096,97.655,100.293,96.360,91.873,93.307
"NOV 2015",93.937,91.760,94.775,106.155,91.988,98.576,97.539,89.097,97.613,100.135,96.398,91.411,93.344
"DIC 2015",93.663,91.788,94.698,103.993,92.063,98.672,97.531,87.719,97.544,101.237,96.389,91.446,93.377
"ENE 2016",91.876,92.293,94.718,88.056,88.877,97.985,96.828,86.161,97.791,99.279,96.406,91.432,93.945
"FEB 2016",91.552,91.790,94.951,86.629,87.450,97.984,96.800,85.547,99.239,99.813,96.392,91.763,94.224
"MAR 2016",92.139,91.751,95.033,90.317,87.385,98.256,96.889,86.843,99.236,100.655,96.387,92.239,94.249
"ABR 2016",92.785,91.906,95.057,99.927,86.647,98.471,97.103,87.544,99.894,98.546,96.396,92.414,94.350
"MAY 2016",93.292,92.169,95.187,102.544,86.827,98.716,97.170,88.868,99.866,98.342,96.406,92.603,94.402
